mysql> select size, min(nvertices)-2 as triangles from triangulation natural join graph where size <= 188 and not degenerated group by size;
+------+-----------+
| size | triangles |
+------+-----------+
|    2 |         4 |
|    3 |         6 |
|    4 |         7 |
|    5 |         8 |
|    6 |         9 |
|    7 |         9 |
|    8 |        10 |
|    9 |        10 |
|   10 |        11 |
|   11 |        11 |
|   12 |        11 |
|   13 |        12 |
|   14 |        12 |
|   15 |        12 |
|   16 |        12 |
|   17 |        13 |
|   18 |        13 |
|   19 |        13 |
|   20 |        13 |
|   21 |        13 |
|   22 |        14 |
|   23 |        14 |
|   24 |        14 |
|   25 |        14 |
|   26 |        14 |
|   27 |        14 |
|   28 |        14 |
|   29 |        15 |
|   30 |        15 |
|   31 |        15 |
|   32 |        15 |
|   33 |        15 |
|   34 |        15 |
|   35 |        15 |
|   36 |        15 |
|   37 |        15 |
|   38 |        16 |
|   39 |        15 |
|   40 |        16 |
|   41 |        16 |
|   42 |        16 |
|   43 |        16 |
|   44 |        16 |
|   45 |        16 |
|   46 |        16 |
|   47 |        16 |
|   48 |        16 |
|   49 |        16 |
|   50 |        17 |
|   51 |        17 |
|   52 |        17 |
|   53 |        17 |
|   54 |        17 |
|   55 |        17 |
|   56 |        17 |
|   57 |        17 |
|   58 |        17 |
|   59 |        17 |
|   60 |        17 |
|   61 |        17 |
|   62 |        17 |
|   63 |        17 |
|   64 |        17 |
|   65 |        17 |
|   66 |        17 |
|   67 |        17 |
|   68 |        18 |
|   69 |        18 |
|   70 |        18 |
|   71 |        18 |
|   72 |        18 |
|   73 |        18 |
|   74 |        18 |
|   75 |        18 |
|   76 |        18 |
|   77 |        18 |
|   78 |        18 |
|   79 |        18 |
|   80 |        18 |
|   81 |        18 |
|   82 |        18 |
|   83 |        18 |
|   84 |        18 |
|   85 |        18 |
|   86 |        18 |
|   87 |        18 |
|   88 |        19 |
|   89 |        19 |
|   90 |        18 |
|   91 |        18 |
|   92 |        19 |
|   93 |        18 |
|   94 |        19 |
|   95 |        19 |
|   96 |        19 |
|   97 |        19 |
|   98 |        19 |
|   99 |        19 |
|  100 |        19 |
|  101 |        19 |
|  102 |        19 |
|  103 |        19 |
|  104 |        19 |
|  105 |        19 |
|  106 |        19 |
|  107 |        19 |
|  108 |        19 |
|  109 |        19 |
|  110 |        19 |
|  111 |        19 |
|  112 |        19 |
|  113 |        19 |
|  114 |        19 |
|  115 |        19 |
|  116 |        19 |
|  117 |        19 |
|  118 |        20 |
|  119 |        20 |
|  120 |        19 |
|  121 |        20 |
|  122 |        19 |
|  123 |        20 |
|  124 |        20 |
|  125 |        20 |
|  126 |        20 |
|  127 |        20 |
|  128 |        20 |
|  129 |        20 |
|  130 |        19 |
|  131 |        20 |
|  132 |        20 |
|  133 |        20 |
|  134 |        20 |
|  135 |        20 |
|  136 |        20 |
|  137 |        20 |
|  138 |        20 |
|  139 |        20 |
|  140 |        20 |
|  141 |        20 |
|  142 |        20 |
|  143 |        20 |
|  144 |        20 |
|  145 |        20 |
|  146 |        20 |
|  147 |        20 |
|  148 |        20 |
|  149 |        20 |
|  150 |        20 |
|  151 |        20 |
|  152 |        20 |
|  153 |        20 |
|  154 |        20 |
|  155 |        20 |
|  156 |        20 |
|  157 |        20 |
|  158 |        20 |
|  159 |        20 |
|  160 |        20 |
|  162 |        20 |
|  165 |        20 |
+------+-----------+
161 rows in set (4 min 26.67 sec)
